El caso (1,) tomó 0 flips.
El caso (1, 2) tomó 0 flips.
El caso (2, 1) tomó 1 flips.
El caso (1, 2, 3) tomó 0 flips.
El caso (1, 3, 2) tomó 3 flips.
El caso (2, 1, 3) tomó 1 flips.
El caso (2, 3, 1) tomó 2 flips.
El caso (3, 1, 2) tomó 2 flips.
El caso (3, 2, 1) tomó 1 flips.
El caso (1, 2, 3, 4) tomó 0 flips.
El caso (1, 2, 4, 3) tomó 3 flips.
El caso (1, 3, 2, 4) tomó 3 flips.
El caso (1, 3, 4, 2) tomó 3 flips.
El caso (1, 4, 2, 3) tomó 3 flips.
El caso (1, 4, 3, 2) tomó 3 flips.
El caso (2, 1, 3, 4) tomó 1 flips.
El caso (2, 1, 4, 3) tomó 3 flips.
El caso (2, 3, 1, 4) tomó 2 flips.
El caso (2, 3, 4, 1) tomó 2 flips.
El caso (2, 4, 1, 3) tomó 4 flips.
El caso (2, 4, 3, 1) tomó 3 flips.
El caso (3, 1, 2, 4) tomó 2 flips.
El caso (3, 1, 4, 2) tomó 4 flips.
El caso (3, 2, 1, 4) tomó 1 flips.
El caso (3, 2, 4, 1) tomó 3 flips.
El caso (3, 4, 1, 2) tomó 3 flips.
El caso (3, 4, 2, 1) tomó 2 flips.
El caso (4, 1, 2, 3) tomó 2 flips.
El caso (4, 1, 3, 2) tomó 3 flips.
El caso (4, 2, 1, 3) tomó 3 flips.
El caso (4, 2, 3, 1) tomó 4 flips.
El caso (4, 3, 1, 2) tomó 2 flips.
El caso (4, 3, 2, 1) tomó 1 flips.
El caso (1, 2, 3, 4, 5) tomó 0 flips.
El caso (1, 2, 3, 5, 4) tomó 3 flips.
El caso (1, 2, 4, 3, 5) tomó 3 flips.
El caso (1, 2, 4, 5, 3) tomó 4 flips.
El caso (1, 2, 5, 3, 4) tomó 4 flips.
El caso (1, 2, 5, 4, 3) tomó 3 flips.
El caso (1, 3, 2, 4, 5) tomó 3 flips.
El caso (1, 3, 2, 5, 4) tomó 5 flips.
El caso (1, 3, 4, 2, 5) tomó 3 flips.
El caso (1, 3, 4, 5, 2) tomó 3 flips.
El caso (1, 3, 5, 2, 4) tomó 5 flips.
El caso (1, 3, 5, 4, 2) tomó 4 flips.
El caso (1, 4, 2, 3, 5) tomó 3 flips.
El caso (1, 4, 2, 5, 3) tomó 5 flips.
El caso (1, 4, 3, 2, 5) tomó 3 flips.
El caso (1, 4, 3, 5, 2) tomó 5 flips.
El caso (1, 4, 5, 2, 3) tomó 3 flips.
El caso (1, 4, 5, 3, 2) tomó 4 flips.
El caso (1, 5, 2, 3, 4) tomó 3 flips.
El caso (1, 5, 2, 4, 3) tomó 4 flips.
El caso (1, 5, 3, 2, 4) tomó 5 flips.
El caso (1, 5, 3, 4, 2) tomó 5 flips.
El caso (1, 5, 4, 2, 3) tomó 4 flips.
El caso (1, 5, 4, 3, 2) tomó 3 flips.
El caso (2, 1, 3, 4, 5) tomó 1 flips.
El caso (2, 1, 3, 5, 4) tomó 4 flips.
El caso (2, 1, 4, 3, 5) tomó 3 flips.
El caso (2, 1, 4, 5, 3) tomó 3 flips.
El caso (2, 1, 5, 3, 4) tomó 3 flips.
El caso (2, 1, 5, 4, 3) tomó 4 flips.
El caso (2, 3, 1, 4, 5) tomó 2 flips.
El caso (2, 3, 1, 5, 4) tomó 4 flips.
El caso (2, 3, 4, 1, 5) tomó 2 flips.
El caso (2, 3, 4, 5, 1) tomó 2 flips.
El caso (2, 3, 5, 1, 4) tomó 4 flips.
El caso (2, 3, 5, 4, 1) tomó 3 flips.
El caso (2, 4, 1, 3, 5) tomó 4 flips.
El caso (2, 4, 1, 5, 3) tomó 5 flips.
El caso (2, 4, 3, 1, 5) tomó 3 flips.
El caso (2, 4, 3, 5, 1) tomó 5 flips.
El caso (2, 4, 5, 1, 3) tomó 4 flips.
El caso (2, 4, 5, 3, 1) tomó 4 flips.
El caso (2, 5, 1, 3, 4) tomó 4 flips.
El caso (2, 5, 1, 4, 3) tomó 5 flips.
El caso (2, 5, 3, 1, 4) tomó 5 flips.
El caso (2, 5, 3, 4, 1) tomó 4 flips.
El caso (2, 5, 4, 1, 3) tomó 4 flips.
El caso (2, 5, 4, 3, 1) tomó 3 flips.
El caso (3, 1, 2, 4, 5) tomó 2 flips.
El caso (3, 1, 2, 5, 4) tomó 4 flips.
El caso (3, 1, 4, 2, 5) tomó 4 flips.
El caso (3, 1, 4, 5, 2) tomó 4 flips.
El caso (3, 1, 5, 2, 4) tomó 5 flips.
El caso (3, 1, 5, 4, 2) tomó 5 flips.
El caso (3, 2, 1, 4, 5) tomó 1 flips.
El caso (3, 2, 1, 5, 4) tomó 3 flips.
El caso (3, 2, 4, 1, 5) tomó 3 flips.
El caso (3, 2, 4, 5, 1) tomó 3 flips.
El caso (3, 2, 5, 1, 4) tomó 4 flips.
El caso (3, 2, 5, 4, 1) tomó 4 flips.
El caso (3, 4, 1, 2, 5) tomó 3 flips.
El caso (3, 4, 1, 5, 2) tomó 4 flips.
El caso (3, 4, 2, 1, 5) tomó 2 flips.
El caso (3, 4, 2, 5, 1) tomó 4 flips.
El caso (3, 4, 5, 1, 2) tomó 3 flips.
El caso (3, 4, 5, 2, 1) tomó 2 flips.
El caso (3, 5, 1, 2, 4) tomó 4 flips.
El caso (3, 5, 1, 4, 2) tomó 5 flips.
El caso (3, 5, 2, 1, 4) tomó 4 flips.
El caso (3, 5, 2, 4, 1) tomó 5 flips.
El caso (3, 5, 4, 1, 2) tomó 4 flips.
El caso (3, 5, 4, 2, 1) tomó 3 flips.
El caso (4, 1, 2, 3, 5) tomó 2 flips.
El caso (4, 1, 2, 5, 3) tomó 4 flips.
El caso (4, 1, 3, 2, 5) tomó 3 flips.
El caso (4, 1, 3, 5, 2) tomó 5 flips.
